client,addrnumber,persnumber,comm_type,date_from,consnumber,langu,remark,operation_flag,is_deleted,recordstamp
800,0000008884,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000013049,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016493,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000017227,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034541,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034594,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037092,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000038376,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009199,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009200,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000025720,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035262,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035267,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035364,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037151,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000039090,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000042769,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000043585,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000007885,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000012250,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016482,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034559,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034569,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037150,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000043587,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009208,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016540,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034543,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034580,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035277,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037087,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037094,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037145,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000008887,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000010166,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000011977,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034552,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037090,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000039095,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000039100,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000042768,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000043583,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000045072,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009192,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016490,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034519,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034521,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034528,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034536,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034593,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035282,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000005319,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000005373,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009193,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009195,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016406,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016481,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016492,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034529,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035283,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035365,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037106,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000005374,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000006526,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000006672,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000007944,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009203,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009205,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000016486,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034522,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034539,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034606,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000005371,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000006673,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009090,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000009958,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034494,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000034586,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000035274,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037086,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000037093,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000045025,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000002418,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000005376,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
800,0000007701,,FAX,0001-01-01,001,D,,L,False,2021-12-23 14:59:13.298426+00:00
