client,addrnumber,date_from,nation,langu,remark,operation_flag,is_deleted,recordstamp
800,0000036536,0001-01-01,,F,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007134,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007131,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007157,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007135,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007158,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007133,0001-01-01,,J,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000013733,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012086,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011645,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011767,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012125,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011819,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012591,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000013107,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011867,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000034446,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000034448,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012171,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011509,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011612,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000013734,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012085,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000034447,0001-01-01,,P,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011349,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006743,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006951,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006695,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011649,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011449,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011433,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006662,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006684,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011665,0001-01-01,,R,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016817,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016816,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016827,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016825,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016814,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016813,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016812,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016809,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016818,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016868,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000009110,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016830,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006767,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015869,0001-01-01,,S,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000035792,0001-01-01,,Z,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006723,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006736,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006745,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006770,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006914,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006921,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006980,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006988,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000006990,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000007083,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000008305,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000009467,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000010968,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011413,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000011647,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012125,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012413,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012504,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012606,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012615,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012664,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012707,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012710,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012757,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000012761,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000013074,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014030,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014150,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014723,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014725,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014775,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014817,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000014845,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015219,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015457,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015483,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015676,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015704,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015734,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000015774,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016109,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016183,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016493,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016536,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016598,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016803,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000016990,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000017155,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000017298,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000017637,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000017689,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000017901,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018001,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018059,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018253,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018435,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018519,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018655,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018741,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000018771,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019169,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019197,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019345,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019405,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019407,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019495,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019579,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019641,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019659,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019683,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019701,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019845,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000019883,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020181,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020223,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020363,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020469,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020667,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020733,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020757,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020927,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000020973,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021173,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021193,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021303,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021493,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021607,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021693,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021737,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021859,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000021999,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000022091,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
800,0000022101,0001-01-01,,D,,L,False,2021-05-31 22:51:29.087521+00:00
