mandt,kurst,fcurr,tcurr,gdatu,ffact,tfact,abwct,abwga,operation_flag,is_deleted,recordstamp
200,M,VND,USD,79819898,1.000000000,1.000000000,,,I,False,2022-02-09 07:12:11.285269+00:00
200,M,VND,EUR,79819898,1.000000000,1.000000000,,,I,False,2022-02-09 07:17:31.398679+00:00
250,M,VND,EUR,79819898,1.000000000,1.000000000,,,I,False,2022-02-09 07:19:58.661302+00:00
250,M,VND,USD,79819898,1.000000000,1.000000000,,,I,False,2022-02-09 07:19:58.661302+00:00
200,M,CNY,EUR,79849898,1.000000000,1.000000000,,,I,False,2022-02-08 06:53:47.657414+00:00
200,M,CNY,USD,79849898,1.000000000,1.000000000,,,I,False,2022-02-08 06:53:47.657414+00:00
250,M,CNY,EUR,79849898,1.000000000,1.000000000,,,I,False,2022-02-08 06:57:33.449992+00:00
250,M,CNY,USD,79849898,1.000000000,1.000000000,,,I,False,2022-02-08 06:57:33.449992+00:00
050,M,EUR,USD,79899898,1.000000000,1.000000000,,,I,False,2022-03-08 12:55:25.950606+00:00
050,M,USD,EUR,79899898,1.000000000,1.000000000,,,I,False,2022-03-08 12:54:44.294083+00:00
050,M,EUR,USD,81999898,1.000000000,1.000000000,,,U,False,2022-02-15 17:02:37.352572+00:00
050,M,EUR,USD,81999898,1.000000000,1.000000000,,,U,False,2022-02-15 17:03:16.268294+00:00
050,M,USD,EUR,81999898,1.000000000,1.000000000,,,U,False,2022-02-16 13:54:21.404047+00:00
200,M,EUR,USD,79849898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,EUR,USD,79849898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,USD,EUR,79849898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,USD,EUR,79849898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,BHD,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,OMR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,AED,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,CNY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,EUR,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,GBP,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,JPY,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,QAR,USD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,SAR,KWD,79989898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,CLP4,CLP,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,CLP,CLP4,80999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,EURO,CYP,EUR,81998998,1.000000000,100.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
100,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
200,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,NZD5,NZD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
250,M,USDN,USD,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,ATS,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,BEF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,ESP,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,FIM,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,FRF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,GRD,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,ITL,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,LUF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,NLG,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
000,EURO,PTE,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,ATS,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,BEF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,ESP,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,FIM,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,FRF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,GRD,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,ITL,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,LUF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,NLG,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
001,EURO,PTE,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,EURO,ATS,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,EURO,BEF,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,EURO,ESP,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
050,EURO,FIM,EUR,81999898,1.000000000,1.000000000,,,L,False,2022-01-31 20:43:51.824141+00:00
